Designator,Mid X,Mid Y,Layer,Rotation
C10,45.8,44.5,B,90
C11,54.4,44.4,B,270
C3,46.3,19.5,B,90
C4,53.3,19.5,B,90
C8,47.3,71.3,B,90
C9,54.3,71.3,B,90
D1,49.5,58,B,0
D2,45.8,32,B,180
D3,49.8,5,B,0
R3,43.2,19.5,B,90
R5,44.2,71.3,B,90
R6,41.6,44.4,B,270
R7,50.2,43,B,180
R8,50.8,70,B,180
R9,49.8,18.1,B,180
LED1,24.29,64.18,T,90
LED2,75.2,34.4,T,270
LED3,75.28,40.06,T,270
LED4,75.28,45.72,T,270
R1,73.18,45.72,T,270
R10,73.2,34.4,T,270
R2,73.18,40.06,T,270
R4,21.69,64.18,T,270
C1,13.925,61.1,T,0
C2,22.3,58.85,T,0
J2,20.5,14,T,90
J6,6.5,14,T,90
J8,20.5,5,T,90
J9,6.5,5,T,90
J1,18,73,T,270
KK1,48.8,13,T,0
KK3,48.8,40,T,0
KK4,48.8,67,T,0
